apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py +50,You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,አንተ መሰረዝ አይችሉም በጀት ዓመት {0}. በጀት ዓመት {0} አቀፍ ቅንብሮች ውስጥ እንደ ነባሪ ተዘጋጅቷል
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +262,Timesheet {0} is already completed or cancelled,Timesheet {0} አስቀድሞ የተጠናቀቁ ወይም ተሰርዟል
DocType: Appraisal Template Goal,Key Performance Area,ቁልፍ አፈጻጸም አካባቢ
,Supplier-Wise Sales Analytics,አቅራቢው-ጥበበኛ የሽያጭ ትንታኔ
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py +31,Net pay cannot be negative,የተጣራ ክፍያ አሉታዊ መሆን አይችልም
DocType: UOM Conversion Detail,UOM Conversion Detail,UOM ልወጣ ዝርዝር
apps/erpnext/erpnext/fleet_management/doctype/vehicle_log/vehicle_log.py +20,"Service Item,Type,frequency and expense amount are required","የአገልግሎት ንጥል, ዓይነት, ብዛት እና ወጪ መጠን ያስፈልጋሉ"
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py +158,Please create Customer from Lead {0},ቀዳሚ ከ ደንበኛ ለመፍጠር እባክዎ {0}
DocType: Employee,Held On,የተያዙ ላይ
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js +176,Mark Absent,ማርቆስ የተዉ
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +61,Gross Purchase Amount is mandatory,አጠቃላይ የግዢ መጠን የግዴታ ነው
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +230,{0} {1} is not submitted,{0} {1} ማቅረብ አይደለም
DocType: Holiday,Holiday,የበዓል ቀን
DocType: Sales Order,% of materials delivered against this Sales Order,ቁሳቁሶችን% ይህን የሽያጭ ትዕዛዝ ላይ አሳልፎ
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py +29,Please specify a country for this Shipping Rule or check Worldwide Shipping,ለዚህ መላኪያ አገዛዝ አንድ አገር መግለጽ ወይም ዓለም አቀፍ መላኪያ ያረጋግጡ
DocType: Production Order,Qty To Manufacture,ለማምረት ብዛት
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +70,Temporary Opening,ጊዜያዊ በመክፈት ላይ
DocType: C-Form Invoice Detail,C-Form Invoice Detail,ሲ-ቅጽ የደረሰኝ ዝርዝር
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +155,Extra Small,የበለጠ አነስተኛ
DocType: Customer,Tax ID,የግብር መታወቂያ
DocType: Student Admission,Naming Series (for Student Applicant),ተከታታይ እየሰየሙ (የተማሪ አመልካች ለ)
apps/erpnext/erpnext/shopping_cart/cart.py +347,Debtors ({0}),ተበዳሪዎች ({0})
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +62,Piecework,ጭማቂዎች
DocType: Supplier Quotation,SQTN-,SQTN-
apps/erpnext/erpnext/config/selling.py +57,All Products or Services.,ሁሉም ምርቶች ወይም አገልግሎቶች.
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +20,{0} is mandatory for Return,{0} መመለስ ግዴታ ነው
DocType: Production Order Operation,Actual Start Time,ትክክለኛው የማስጀመሪያ ሰዓት
apps/erpnext/erpnext/config/hr.py +70,Holiday master.,የበዓል ጌታ.
DocType: BOM,Scrap,ቁራጭ
DocType: Asset,Expected Value After Useful Life,ጠቃሚ ሕይወት በኋላ የሚጠበቀው እሴት
DocType: Process Payroll,Select Payment Account to make Bank Entry,ይምረጡ የክፍያ መለያ ባንክ የሚመዘገብ ለማድረግ
DocType: Item,Taxes,ግብሮች
,Sales Register,የሽያጭ መመዝገቢያ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +265,Payment against {0} {1} cannot be greater than Outstanding Amount {2},ላይ ክፍያ {0} {1} ያልተከፈሉ መጠን በላይ ሊሆን አይችልም {2}
DocType: Production Order Item,Transferred Qty,ተላልፈዋል ብዛት
DocType: Assessment,Assessment Code,ግምገማ ኮድ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +144,Please enter Maintaince Details first,በመጀመሪያ Maintaince ዝርዝሮችን ያስገቡ
DocType: Stock Entry,Default Source Warehouse,ነባሪ ምንጭ መጋዘን
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +227,Insufficient Stock,በቂ ያልሆነ የአክሲዮን
DocType: Stock Settings,Default Item Group,ነባሪ ንጥል ቡድን
DocType: Accounts Settings,Role that is allowed to submit transactions that exceed credit limits set.,ካልተዋቀረ የብድር ገደብ መብለጥ መሆኑን ግብይቶችን ማቅረብ አይፈቀድም ነው ሚና.
DocType: Training Event Employee,Withdrawn,ራቀ
,Asset Depreciations and Balances,የንብረት Depreciations እና ሚዛን
DocType: Student Applicant,Application Date,የመተግበሪያ ቀን
apps/erpnext/erpnext/setup/doctype/company/company.js +63,Wrong Password,የተሳሳተ የይለፍ ቃል
DocType: Lead,Suggestions,ጥቆማዎች
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +229,Asset Movement record {0} created,የንብረት እንቅስቃሴ መዝገብ {0} ተፈጥሯል
apps/erpnext/erpnext/accounts/page/pos/pos.js +1777,Default warehouse is required for selected item,ነባሪ መጋዘን የተመረጠው ንጥል ያስፈልጋል
,Sales Browser,የሽያጭ አሳሽ
DocType: BOM Replace Tool,"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","ጥቅም ነው ስፍራ ሁሉ በሌሎች BOMs ውስጥ አንድ የተወሰነ BOM ተካ. ይህ, አሮጌውን BOM አገናኝ መተካት ወጪ ማዘመን እና አዲስ BOM መሰረት &quot;BOM ፍንዳታ ንጥል&quot; ሰንጠረዥ እናመነጫቸዋለን"
DocType: Sales Order,Not Billed,የሚከፈል አይደለም
,Purchase Order Trends,ትዕዛዝ በመታየት ላይ ይግዙ
DocType: Naming Series,Current Value,የአሁኑ ዋጋ
DocType: Upload Attendance,Upload Attendance,ስቀል ክትትል
apps/erpnext/erpnext/accounts/doctype/accounts_settings/accounts_settings.py +27,Company is missing in warehouses {0},ኩባንያ መጋዘኖችን ውስጥ ጠፍቷል {0}
apps/erpnext/erpnext/accounts/party.py +296,Due Date cannot be before Posting Date,መጠናቀቅ ያለበት ቀን ቀን መለጠፍ በፊት ሊሆን አይችልም
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +51,Privilege Leave,መብት ውጣ
DocType: Employee Education,Graduate,ምረቃ
DocType: SMS Settings,Enter url parameter for message,መልዕክት ዩአርኤል መስፈርት አስገባ
DocType: Leave Allocation,LAL/,ሱንደር /
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),ጠቅላላ ግብሮች እና ክፍያዎች (ኩባንያ ምንዛሬ)
DocType: Sales Taxes and Charges Template,Sales Master Manager,የሽያጭ መምህር አስተዳዳሪ
DocType: Shopping Cart Settings,Orders,ትዕዛዞች
DocType: Payment Entry,Received Amount (Company Currency),ተቀብሏል መጠን (የኩባንያ የምንዛሬ)
DocType: Pricing Rule,For Price List,የዋጋ ዝርዝር ለ
apps/erpnext/erpnext/public/js/templates/contact_list.html +2,New Contact,አዲስ እውቂያ
DocType: Employee,Educational Qualification,ተፈላጊ የትምህርት ደረጃ
DocType: Stock Entry,Default Target Warehouse,ነባሪ ዒላማ መጋዘን
DocType: Supplier,Mention if non-standard receivable account,ጥቀስ መደበኛ ያልሆነ እንደተቀበለ መለያ ከሆነ
apps/erpnext/erpnext/templates/includes/cart/cart_items.html +29,Rate: {0},ፍጥነት: {0}
DocType: Guardian,Mobile Number,ስልክ ቁጥር
DocType: Stock Reconciliation,Difference Amount,ልዩነት መጠን
DocType: Warranty Claim,Service Address,የአገልግሎት አድራሻ
DocType: Salary Detail,Component,ክፍል
,sales-browser,ሽያጭ-አሳሽ
apps/erpnext/erpnext/public/js/utils.js +116,Total Unpaid: {0},ጠቅላላ የማይከፈላቸው: {0}
apps/erpnext/erpnext/accounts/party.py +253,Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,ዲግሪ ግቤቶች አስቀድሞ ምንዛሬ ተደርገዋል {0} ድርጅት {1}. ምንዛሬ ጋር አንድ እንደተቀበለ ወይም ተከፋይ ሂሳብ ይምረጡ {0}.
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +216,Item {0} does not exist in the system or has expired,{0} ንጥል ሥርዓት ውስጥ የለም ወይም ጊዜው አልፎበታል
DocType: Upload Attendance,Attendance From Date,ቀን ጀምሮ በስብሰባው
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py +51,{0} must appear only once,{0} ጊዜ ብቻ ነው ሊታይ ይገባል
DocType: Dependent Task,Dependent Task,ጥገኛ ተግባር
DocType: Vehicle Service,Brake Pad,የብሬክ ፓድ
apps/erpnext/erpnext/stock/get_item_details.py +272,Price List {0} is disabled,የዋጋ ዝርዝር {0} ተሰናክሏል
DocType: Production Order,Material Transferred for Manufacturing,ቁሳዊ ማኑፋክቸሪንግ ለ ተላልፈዋል
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +44,Age (Days),የእድሜ (ቀኖች)
DocType: Lead,Industry,ኢንድስትሪ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +155,Warehouse required at Row No {0},ረድፍ ምንም ያስፈልጋል መጋዘን {0}
DocType: Process Payroll,Select Payroll Period,የደመወዝ ክፍያ ክፍለ ይምረጡ
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py +65,Unsubscribe from this Email Digest,ይህን የኢሜይል ጥንቅር ምዝገባ ይውጡ
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py +34,Traceability,Traceability
DocType: Production Planning Tool,Include sub-contracted raw materials,ንዑስ-ኮንትራት ጥሬ ዕቃዎች አካትት
DocType: Task,Total Expense Claim (via Expense Claim),(የወጪ የይገባኛል በኩል) ጠቅላላ የወጪ የይገባኛል ጥያቄ
apps/erpnext/erpnext/controllers/status_updater.py +196,"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","የክምችት ቅንብሮች ወይም ንጥል ላይ &quot;አበል&quot; ማዘመን, አከፋፈል ላይ ወይም በላይ-ትዕዛዝን መፍቀድ."
DocType: Pricing Rule,Valid Upto,ልክ እስከሁለት
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js +32,Item 5,ንጥል 5
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +52,Telecommunications,ቴሌ ኮሙኒካሲዮን
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +79,Batch number is mandatory for Item {0},ባች ቁጥር ንጥል ግዴታ ነው {0}
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +125,"Payment Type must be one of Receive, Pay and Internal Transfer","የክፍያ ዓይነት, ተቀበል አንዱ መሆን ይክፈሉ እና የውስጥ ትልልፍ አለበት"
DocType: Sales Invoice,Source,ምንጭ
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js +13,Training Feedback,ስልጠና ግብረ መልስ
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +92,From and To dates required,እንዲሁም ያስፈልጋል ቀናት ወደ
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","እናንተ የሽያጭ ግብሮች እና ክፍያዎች መለጠፊያ ውስጥ መደበኛ አብነት ፈጥረዋል ከሆነ, አንዱን ይምረጡ እና ከታች ያለውን አዝራር ላይ ጠቅ ያድርጉ."
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +95,Bank Entries,ባንክ ግቤቶችን
DocType: Workstation,Workstation Name,ከገቢር ስም
DocType: POS Profile,Update Stock,አዘምን Stock
DocType: Quality Inspection,Quality Manager,የጥራት ሥራ አስኪያጅ
apps/erpnext/erpnext/accounts/utils.py +432,Journal Entries {0} are un-linked,ጆርናል ግቤቶች {0}-un ጋር የተገናኘ ነው
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +43,From Date should be within the Fiscal Year. Assuming From Date = {0},ቀን ጀምሮ በ የበጀት ዓመት ውስጥ መሆን አለበት. ቀን ጀምሮ ከወሰድን = {0}
apps/erpnext/erpnext/public/js/setup_wizard.js +51,"e.g. ""Primary School"" or ""University""",ለምሳሌ &quot;አንደኛ ደረጃ ትምህርት ቤት&quot; ወይም &quot;ዩኒቨርሲቲ&quot;
DocType: Manufacturer,Limited to 12 characters,12 ቁምፊዎች የተገደበ
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.js +3,Allocations,አመዳደብ
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +114,Pharmaceutical,የህክምና
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +147,Note: There is not enough leave balance for Leave Type {0},ማስታወሻ: አይተውህም ዓይነት በቂ ፈቃድ ቀሪ የለም {0}
apps/erpnext/erpnext/config/projects.py +30,Time Tracking,የጊዜ ትራኪንግ
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +26,Entertainment & Leisure,መዝናኛ እና መዝናኛዎች
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js +51,Acutal qty in stock,አክሲዮን ውስጥ Acutal ብዛት
DocType: Pricing Rule,Discount on Price List Rate (%),የዋጋ ዝርዝር ተመን ላይ ቅናሽ (%)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +347,{0} against Sales Invoice {1},{0} የሽያጭ ደረሰኝ ላይ {1}
DocType: Serial No,Warranty Period (Days),የዋስትና ክፍለ ጊዜ (ቀኖች)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +135,Source warehouse is mandatory for row {0},ምንጭ መጋዘን ረድፍ ግዴታ ነው {0}
DocType: Sales Invoice Advance,Advance Amount,የቅድሚያ ክፍያ መጠን
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js +788,Please select a value for {0} quotation_to {1},{0} quotation_to እሴት ይምረጡ {1}
DocType: Sales Partner,Logo,አርማ
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +29,"Food, Beverage & Tobacco","የምግብ, መጠጥ እና ትንባሆ"
DocType: Employee External Work History,Employee External Work History,የተቀጣሪ ውጫዊ የስራ ታሪክ
DocType: Journal Entry,Pay To / Recd From,ከ / Recd ወደ ይክፈሉ
DocType: Employee,New Workplace,አዲስ በሥራ ቦታ
DocType: Purchase Order Item,Warehouse and Reference,መጋዘን እና ማጣቀሻ
DocType: Stock Settings,Freeze Stock Entries,አርጋ Stock ግቤቶችን
DocType: Budget,Ignore,ችላ
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +150,Series Updated Successfully,ተከታታይ በተሳካ ሁኔታ ዘምኗል
DocType: Stock Entry,Material Receipt,ቁሳዊ ደረሰኝ
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +16,{0}: From {1},{0}: ከ {1}
DocType: Purchase Order,Delivered,ደርሷል
DocType: Sales Partner,Dealer,ሻጭ
apps/erpnext/erpnext/schools/doctype/student_applicant/student_applicant.js +4,Approve,ማጽደቅ
apps/erpnext/erpnext/templates/pages/rfq.html +75,Quotations: ,ጥቅሶች:
apps/erpnext/erpnext/config/manufacturing.py +18,Generate Material Requests (MRP) and Production Orders.,ቁሳዊ ጥያቄዎች (MRP) እና የምርት ትዕዛዞች ፍጠር.
